Source,Item,SKU,Base Price,COGS,Date Listed,Year Month Listed,Platform Sold,Gross Sales,Platform Fee,Shipping,Gross Profit,Net Profit,Date Sold,Year Month Sold,Age of Listing
Closet,Merona Paisley Striped Cardigan V-Neck Boho M,A0205,$0.00 ,$0.00 ,2/3/2020,20202,ThredUp,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,10/25/2020,202010,265
Closet,mine Striped Top Elbow Patch Suede Long Sleeve L,A0206,$0.00 ,$0.00 ,2/3/2020,20202,Poshmark,$13.33 ,$3.33 ,$0.00 ,$10.00 ,$10.00 ,6/24/2020,20206,142
Closet,New York & Company Stretch Trouser Pants,A0207,$0.00 ,$0.00 ,11/20/2019,201911,Poshmark,$9.00 ,$2.95 ,$0.00 ,$6.05 ,$6.05 ,12/19/2019,201912,29
Closet,Express Editor Barely Boot Low Rise Stretch Maroon Pants,A0208,$0.00 ,$0.00 ,11/20/2019,201911,Mercari,$20.00 ,$2.00 ,$4.47 ,$13.53 ,$13.53 ,11/20/2019,201911,0
Closet,Express Editor Barely Boot Low Rise Stretch Grey Pants,A0209,$0.00 ,$0.00 ,11/20/2019,201911,Mercari,$20.00 ,$2.00 ,$4.47 ,$13.53 ,$13.53 ,11/20/2019,201911,0
Closet,Express Editor Barely Boot Low Rise Stretch Black Pants,A0210,$0.00 ,$0.00 ,11/20/2019,201911,Mercari,$20.00 ,$2.00 ,$4.47 ,$13.53 ,$13.53 ,11/20/2019,201911,0
Closet,Express Editor Black Pants,A0211,$0.00 ,$0.00 ,11/20/2019,201911,Poshmark,$20.00 ,$4.00 ,$0.00 ,$16.00 ,$16.00 ,12/2/2019,201912,12
Closet,Merona Blue Chino Chambray Cotton Shorts,A0212,$0.00 ,$0.00 ,11/20/2019,201911,Poshmark,$12.00 ,$2.95 ,$0.00 ,$9.05 ,$9.05 ,6/29/2020,20206,222
Closet,American Eagle Artist Flare Stretch Jeans,A0213,$0.00 ,$0.00 ,11/26/2019,201911,Poshmark,$14.00 ,$2.80 ,$0.00 ,$11.20 ,$11.20 ,1/5/2020,20201,40
Closet,Universal Thread Mid Rise Skinny Dark Wash Jean 4/27S,A0214,$0.00 ,$0.00 ,11/26/2019,201911,Poshmark,$10.00 ,$2.95 ,$0.00 ,$7.05 ,$7.05 ,2/17/2020,20202,83
Closet,Universal Thread Mid Rise Skinny Jegging 4/27S,A0215,$0.00 ,$0.00 ,11/26/2019,201911,Poshmark,$15.00 ,$3.00 ,$0.00 ,$12.00 ,$12.00 ,12/25/2019,201912,29
